,Seed 0,Seed 4,Seed 9,Seed 14,Seed 15,Seed 24,Seed 25,Seed 29,Seed 30,Seed 34,Seed 40,Seed 41,Seed 45,Seed 46,Seed 47,Seed 53,Seed 55,Seed 61,Seed 62,Seed 74,Seed 78,Seed 83,Seed 91,Seed 96,Seed 97,Seed 1,Seed 3,Seed 10,Seed 20,Seed 35,Seed 65,Seed 67,Seed 75,Seed 79,Seed 82,Seed 84,Seed 90,Seed 93,Seed 95,Seed 2,Seed 7,Seed 22,Seed 26,Seed 27,Seed 38,Seed 39,Seed 50,Seed 57,Seed 63,Seed 69,Seed 88,Seed 92,Seed 94,Seed 19,Seed 28,Seed 54,Seed 72,Seed 89,Seed 13,Seed 42,Seed 49,Seed 58,Seed 77,Seed 5,Seed 21,Seed 37,Seed 48,Seed 59,Seed 70,Seed 73,Seed 86,Seed 6,Seed 8,Seed 11,Seed 17,Seed 18,Seed 68,Seed 76,Seed 80,Seed 98,Seed 52,Seed 87,Seed 23,Seed 36,Seed 85,Seed 43,Seed 51,Seed 56,Seed 60,Seed 31,Seed 66,Seed 81,Seed 12,Seed 16,Seed 64,Seed 71,Seed 99,Seed 44,Seed 32,Seed 33
sigma_17,0.874161,0.874214,0.873997,0.874220,0.874095,0.874265,0.876589,0.874348,0.874008,0.876648,0.878529,0.878225,0.874057,0.874382,0.874367,0.874335,0.873963,0.874260,0.877148,0.873969,0.874094,0.877389,0.874288,0.874263,0.874080,0.874011,0.874094,0.874158,0.877250,0.874136,0.874140,0.874132,0.874321,0.874130,0.874120,0.874016,0.874312,0.874114,0.876489,0.874274,0.874214,0.878301,0.874194,0.874004,0.874256,0.874301,0.874183,0.874179,0.878218,0.875940,0.874313,0.877187,0.874372,0.874559,0.876245,0.874225,0.874183,0.874474,0.874285,0.874503,0.874603,0.874204,0.874099,0.874334,0.876930,0.874516,0.876630,0.874186,0.874085,0.878786,0.877887,0.876301,0.874652,0.874281,1.000000,0.878070,0.874220,0.874082,0.874254,0.874232,0.874205,0.874265,0.877798,0.875723,0.877659,0.874265,0.874170,0.874268,0.874224,0.874195,0.878122,0.874159,0.874312,0.874144,0.877397,0.874033,0.874163,0.874278,0.878361,0.876002
sigma_18,0.733521,0.733801,0.733809,0.734653,0.733612,0.733345,0.733544,0.741568,0.733822,0.733510,0.734911,0.733585,0.733708,0.733678,0.733878,0.733763,0.733451,0.733822,0.733889,0.733330,0.733612,0.733663,0.733850,0.733709,0.739038,0.733875,0.733577,0.733716,0.740113,0.733556,0.733923,0.733921,0.733603,0.733412,0.740783,0.733893,0.733869,0.737774,0.733983,0.733644,0.733672,0.733986,0.733629,0.733769,0.739309,0.733631,0.733370,0.733790,0.733708,0.733485,0.733331,0.733553,0.733933,0.733613,0.733575,0.733563,0.733402,0.734155,0.739633,0.733788,0.742555,0.733778,0.733526,0.733618,0.733834,0.733724,0.733984,0.734103,0.733713,0.734045,0.733556,0.738319,0.733902,0.741892,0.737464,1.000000,0.733670,0.737505,0.733932,0.738346,0.739405,0.733336,0.733934,0.733573,0.733532,0.733517,0.733689,0.734103,0.733684,0.733731,0.741929,0.733939,0.733744,0.733764,0.733633,0.733308,0.733933,0.739214,0.733560,0.733778
sigma_68,0.818119,0.818044,0.817992,0.818361,0.817923,0.818468,0.818122,0.818563,0.818065,0.821983,0.824287,0.817930,0.822766,0.817914,0.818187,0.817911,0.818477,0.818238,0.822616,0.820067,0.818132,0.818344,0.818309,0.818280,0.818075,0.818740,0.818177,0.823919,0.818139,0.818041,0.818184,0.818597,0.818374,0.822198,0.822906,0.821857,0.822569,0.818088,0.821821,0.818313,0.823190,0.818234,0.818288,0.818131,0.817980,0.818443,0.818217,0.817889,0.818195,0.818026,0.824496,0.817945,0.823822,0.818341,0.820820,0.823403,0.818137,0.818220,0.818091,0.817888,0.818505,0.818115,0.817979,0.817978,0.818191,0.818083,0.818052,0.817873,0.818109,0.818022,0.818244,0.820968,0.818219,0.818359,0.818107,0.818171,1.000000,0.818217,0.818147,0.817945,0.818262,0.818514,0.818428,0.820418,0.818216,0.818000,0.818121,0.818245,0.818319,0.818118,0.818412,0.823851,0.821602,0.818276,0.818580,0.818055,0.818053,0.822019,0.818004,0.817870
sigma_76,0.876597,0.876213,0.879442,0.876496,0.876431,0.876476,0.876639,0.880370,0.878694,0.878676,0.880993,0.876590,0.876430,0.876282,0.880191,0.879866,0.878626,0.876490,0.876435,0.876344,0.876498,0.876301,0.879132,0.876430,0.876356,0.876450,0.876480,0.880497,0.876662,0.876309,0.876678,0.876533,0.876354,0.876472,0.876896,0.879004,0.876517,0.876496,0.876556,0.876317,0.876485,0.876558,0.876662,0.876320,0.876392,0.876899,0.876305,0.879571,0.876560,0.878314,0.876241,0.876329,0.876290,0.876462,0.876193,0.879730,0.876393,0.880588,0.876542,0.876469,0.876600,0.876578,0.876508,0.876719,0.879433,0.876624,0.876391,0.879664,0.879811,0.876576,0.876503,0.878759,0.876563,0.880351,0.876391,0.880419,0.876638,1.000000,0.879543,0.876611,0.876656,0.876640,0.876639,0.876314,0.876401,0.876510,0.876441,0.876459,0.876653,0.876619,0.876599,0.876463,0.878932,0.876375,0.876357,0.876427,0.879256,0.879177,0.876280,0.878237
sigma_80,0.790789,0.790964,0.790888,0.790871,0.791005,0.790714,0.790726,0.796953,0.790600,0.790885,0.790970,0.791177,0.790838,0.790532,0.790767,0.796788,0.790624,0.790751,0.795702,0.792725,0.790756,0.790609,0.790651,0.795377,0.790468,0.790873,0.790993,0.791089,0.790688,0.790825,0.800029,0.791061,0.790668,0.795519,0.790919,0.791061,0.790549,0.790703,0.790878,0.790678,0.791205,0.790833,0.790724,0.790960,0.790771,0.791092,0.790626,0.791148,0.790713,0.793786,0.790495,0.790921,0.790625,0.791152,0.790439,0.790746,0.795425,0.790740,0.795782,0.791151,0.791017,0.790522,0.794954,0.791457,0.790769,0.791327,0.790739,0.791045,0.796259,0.798595,0.797323,0.794243,0.790965,0.790715,0.790776,0.791068,0.790781,0.793761,1.000000,0.794465,0.790797,0.790782,0.790738,0.793517,0.790763,0.791025,0.793560,0.790820,0.790626,0.790895,0.790563,0.790831,0.790613,0.790836,0.790558,0.790579,0.790944,0.790665,0.790799,0.790947
sigma_98,0.849148,0.848889,0.849145,0.849143,0.852913,0.848765,0.849016,0.853526,0.851679,0.848948,0.849223,0.854095,0.849055,0.849020,0.849243,0.849363,0.849015,0.852468,0.849211,0.850518,0.849204,0.848869,0.852358,0.849059,0.849151,0.848981,0.848974,0.849097,0.849228,0.848987,0.849260,0.849177,0.848996,0.849204,0.849244,0.849177,0.849418,0.851353,0.848970,0.849107,0.848895,0.849487,0.849107,0.848922,0.849079,0.848823,0.849160,0.852999,0.849645,0.851393,0.849217,0.849538,0.849039,0.848931,0.848877,0.848947,0.849125,0.849122,0.849139,0.853161,0.849303,0.849043,0.849207,0.848989,0.849198,0.849330,0.849077,0.852811,0.849348,0.849209,0.849098,0.851717,0.854363,0.849597,0.849143,0.853862,0.848967,0.849212,0.852849,1.000000,0.852171,0.849169,0.849145,0.851093,0.853565,0.849354,0.851150,0.848856,0.849100,0.849095,0.848991,0.853223,0.848939,0.849058,0.848926,0.849115,0.848984,0.849111,0.853718,0.851371
sigma_52,0.824559,0.824480,0.824471,0.831063,0.824393,0.824093,0.824195,0.824455,0.824025,0.824424,0.831201,0.824049,0.823950,0.824235,0.823932,0.829008,0.823892,0.828335,0.828772,0.824133,0.829357,0.828413,0.827987,0.823961,0.827785,0.824377,0.824337,0.823988,0.824381,0.823946,0.824475,0.829221,0.824202,0.827870,0.824484,0.824083,0.824045,0.826787,0.824158,0.824396,0.829177,0.824192,0.824059,0.824340,0.824339,0.824615,0.823988,0.824138,0.824787,0.824050,0.824251,0.824055,0.823966,0.824616,0.824033,0.824233,0.824057,0.830076,0.824358,0.824149,0.830575,0.824276,0.824075,0.824410,0.823981,0.824073,0.827901,0.824260,0.824336,0.824106,0.824252,0.824282,0.824389,0.829354,0.824145,0.829951,0.824315,0.824287,0.824215,0.827203,1.000000,0.824332,0.824117,0.824041,0.823964,0.824269,0.824080,0.824389,0.830148,0.824133,0.824483,0.824507,0.827692,0.824386,0.824228,0.826599,0.824335,0.824516,0.824259,0.824256
sigma_87,0.646329,0.645836,0.645702,0.660326,0.654329,0.646474,0.646154,0.645616,0.645372,0.652914,0.645360,0.656851,0.645971,0.645841,0.645760,0.646285,0.652168,0.645647,0.645701,0.649616,0.645890,0.646042,0.645731,0.653621,0.645326,0.646725,0.646301,0.657380,0.645351,0.650588,0.646750,0.645693,0.645965,0.645442,0.645751,0.646065,0.645475,0.645687,0.645615,0.646308,0.655393,0.645373,0.646038,0.645659,0.645435,0.661081,0.646024,0.645629,0.645337,0.645588,0.645975,0.645707,0.646282,0.645571,0.645479,0.646132,0.646041,0.646035,0.645923,0.645498,0.646200,0.645574,0.645398,0.645527,0.645363,0.645784,0.645508,0.645565,0.645617,0.646481,0.646057,0.645568,0.645924,0.645303,0.645634,0.645319,0.645996,0.645700,0.645628,0.645628,0.645761,1.000000,0.646489,0.645600,0.645632,0.645648,0.645702,0.645813,0.645445,0.645365,0.646366,0.645825,0.645939,0.645415,0.655275,0.645316,0.653436,0.646296,0.645278,0.645382
sigma_23,0.761505,0.761859,0.761377,0.761915,0.761618,0.762088,0.761594,0.761553,0.761597,0.766335,0.761708,0.762057,0.762018,0.761606,0.761574,0.762138,0.761858,0.761649,0.761388,0.761309,0.761435,0.761812,0.761698,0.766953,0.766429,0.762095,0.762426,0.769656,0.767531,0.761522,0.762044,0.761804,0.766318,0.761517,0.768109,0.761956,0.762091,0.761667,0.761538,0.762267,0.762067,0.761813,0.761684,0.761419,0.761547,0.771714,0.766827,0.768039,0.761933,0.761603,0.761577,0.761862,0.762244,0.761896,0.765265,0.768049,0.761977,0.769515,0.761574,0.761881,0.761291,0.767479,0.761695,0.761788,0.761330,0.762039,0.761827,0.761391,0.761770,0.761753,0.768722,0.761731,0.769131,0.761846,0.765162,0.761902,0.761894,0.761685,0.761570,0.761589,0.761531,0.762472,1.000000,0.761635,0.768408,0.761882,0.761640,0.761638,0.761621,0.761723,0.761711,0.761694,0.761732,0.761790,0.762055,0.761617,0.761595,0.761711,0.762189,0.761519
sigma_36,0.882397,0.882601,0.882342,0.882345,0.885612,0.882707,0.882348,0.882657,0.882438,0.884796,0.882469,0.882784,0.882471,0.882527,0.885843,0.882446,0.884475,0.882522,0.882530,0.882417,0.885867,0.882518,0.882391,0.882479,0.882390,0.882582,0.882604,0.882649,0.882541,0.883892,0.882401,0.882581,0.884582,0.884998,0.882479,0.882500,0.882538,0.884094,0.882567,0.882673,0.882633,0.882436,0.882264,0.882516,0.884702,0.882245,0.884801,0.882464,0.886279,0.884163,0.882554,0.885344,0.882438,0.882302,0.882457,0.885703,0.885064,0.882493,0.882506,0.882758,0.886329,0.882364,0.882532,0.882817,0.882445,0.885756,0.882536,0.882414,0.882582,0.882805,0.882713,0.882494,0.886364,0.882379,0.884059,0.882524,0.884864,0.882343,0.885326,0.884517,0.882438,0.882568,0.882617,1.000000,0.882601,0.882563,0.884078,0.882448,0.882429,0.884351,0.882356,0.882636,0.882612,0.885061,0.882510,0.882449,0.882378,0.882378,0.882701,0.882421
sigma_85,0.765077,0.765042,0.765519,0.764869,0.765417,0.765244,0.765513,0.765220,0.769812,0.765234,0.765014,0.773055,0.765360,0.765463,0.765372,0.765106,0.765444,0.765092,0.765277,0.765018,0.765363,0.765115,0.765631,0.765462,0.765465,0.765112,0.765153,0.765669,0.765464,0.765454,0.765253,0.765346,0.765278,0.765211,0.765663,0.765379,0.771078,0.765312,0.764970,0.765912,0.765053,0.765718,0.770608,0.765120,0.764946,0.765247,0.770481,0.771465,0.765905,0.765253,0.773353,0.765582,0.772779,0.764915,0.765267,0.765307,0.765290,0.765140,0.765049,0.765717,0.764922,0.765798,0.765303,0.765341,0.765288,0.771932,0.765337,0.765442,0.771493,0.766118,0.765567,0.765226,0.773379,0.765552,0.768659,0.765138,0.765321,0.765085,0.765233,0.769658,0.765017,0.765256,0.772047,0.765257,1.000000,0.770898,0.768509,0.765496,0.765268,0.765159,0.765431,0.765552,0.765039,0.765263,0.765392,0.768752,0.765317,0.765120,0.772588,0.765438
sigma_43,0.793231,0.793125,0.798060,0.793018,0.798201,0.792938,0.793112,0.792963,0.796635,0.797270,0.792772,0.793289,0.793086,0.793128,0.793043,0.793156,0.792755,0.793245,0.792928,0.792844,0.799131,0.792888,0.797306,0.793257,0.797249,0.793079,0.793112,0.793224,0.792916,0.792849,0.792868,0.792864,0.792971,0.797685,0.793035,0.793114,0.793095,0.796104,0.793041,0.793217,0.793262,0.793205,0.798127,0.792992,0.792971,0.792774,0.793105,0.793242,0.793065,0.793156,0.793047,0.793213,0.793219,0.792995,0.796164,0.792797,0.792937,0.792834,0.793075,0.793016,0.793282,0.793009,0.797157,0.793797,0.793201,0.793552,0.792975,0.798375,0.793613,0.800819,0.799226,0.792999,0.793121,0.793461,0.793093,0.792959,0.792940,0.793029,0.793330,0.793271,0.793157,0.793107,0.793355,0.793054,0.798730,1.000000,0.796085,0.793294,0.793384,0.796709,0.792950,0.793233,0.793004,0.793197,0.792860,0.793158,0.793245,0.793162,0.793226,0.796301
sigma_51,0.878486,0.878455,0.881532,0.878391,0.881565,0.878936,0.878404,0.878772,0.878625,0.880848,0.878664,0.878710,0.878515,0.878453,0.878464,0.878604,0.878561,0.881469,0.878404,0.878474,0.878625,0.878512,0.878678,0.878605,0.881342,0.878724,0.878563,0.882446,0.878655,0.878495,0.878682,0.878608,0.878573,0.878744,0.882032,0.881053,0.878497,0.878398,0.880719,0.878922,0.878502,0.882180,0.878867,0.880654,0.881043,0.878596,0.878562,0.878642,0.878617,0.878489,0.878721,0.881468,0.882403,0.878395,0.878384,0.878499,0.878467,0.878483,0.878679,0.878810,0.878854,0.878493,0.878813,0.878668,0.881330,0.878937,0.881124,0.878792,0.878741,0.883474,0.878552,0.878613,0.878998,0.882070,0.878610,0.878743,0.878673,0.878572,0.881474,0.880678,0.878581,0.878773,0.878726,0.880181,0.881948,0.881691,1.000000,0.878837,0.878488,0.878616,0.878756,0.878809,0.878700,0.881569,0.878448,0.880117,0.881490,0.878429,0.878685,0.878476
sigma_56,0.828304,0.828282,0.832597,0.828453,0.828255,0.828538,0.828253,0.828638,0.828340,0.828303,0.828482,0.828481,0.832487,0.828551,0.828243,0.828164,0.828309,0.828597,0.828754,0.828177,0.828367,0.832520,0.828474,0.828470,0.832089,0.828537,0.828353,0.834149,0.828284,0.830900,0.828218,0.828093,0.828739,0.832094,0.828458,0.828283,0.828362,0.828406,0.828666,0.828608,0.828477,0.828638,0.828765,0.828360,0.831812,0.828661,0.832256,0.828356,0.828445,0.828319,0.828531,0.828257,0.834093,0.828303,0.828536,0.828335,0.828409,0.828123,0.828578,0.828145,0.834178,0.828889,0.831793,0.828718,0.828281,0.828792,0.832007,0.828391,0.832942,0.834986,0.828279,0.828223,0.828462,0.833466,0.828450,0.828898,0.828538,0.828332,0.828479,0.828127,0.828631,0.828626,0.828465,0.828293,0.828684,0.828648,0.828579,1.000000,0.828396,0.831167,0.833858,0.828755,0.828632,0.828544,0.833089,0.830826,0.828825,0.831981,0.833538,0.828555
sigma_60,0.728354,0.728049,0.734106,0.728006,0.727954,0.728578,0.733837,0.728075,0.727988,0.727752,0.738126,0.727949,0.727773,0.733640,0.728299,0.728107,0.727934,0.728214,0.727954,0.731130,0.735831,0.728283,0.733562,0.727833,0.728050,0.727613,0.728788,0.727772,0.727968,0.727850,0.727837,0.728746,0.727734,0.727878,0.727774,0.727643,0.727963,0.727986,0.727903,0.728336,0.728197,0.728203,0.727964,0.727931,0.733317,0.728305,0.727912,0.727843,0.728769,0.728044,0.737219,0.727877,0.728076,0.740331,0.732392,0.727991,0.733552,0.736758,0.728324,0.728026,0.728477,0.728230,0.727736,0.728332,0.727907,0.728066,0.728051,0.728315,0.728215,0.727676,0.728309,0.727910,0.727661,0.728244,0.727916,0.727990,0.728124,0.728037,0.727795,0.727882,0.733909,0.727768,0.727959,0.727783,0.727967,0.728249,0.727739,0.727906,1.000000,0.727917,0.728067,0.727946,0.728181,0.728431,0.728360,0.731918,0.728008,0.728022,0.728340,0.731959
sigma_31,0.850588,0.850836,0.850640,0.850628,0.850592,0.850716,0.850572,0.854888,0.853350,0.850739,0.851022,0.850498,0.850794,0.850612,0.850666,0.850715,0.850684,0.850670,0.854252,0.850473,0.850577,0.850944,0.853949,0.850784,0.850602,0.850568,0.850813,0.850750,0.850843,0.850631,0.850877,0.850675,0.850512,0.850832,0.850876,0.850591,0.850899,0.852870,0.853613,0.850740,0.850897,0.855233,0.850790,0.853300,0.850994,0.850460,0.850697,0.854694,0.850818,0.850587,0.850585,0.850671,0.850694,0.851047,0.852916,0.854861,0.854205,0.850815,0.853978,0.851083,0.851088,0.854295,0.851040,0.850997,0.854150,0.850991,0.850567,0.850931,0.850788,0.850943,0.855088,0.850838,0.850620,0.855049,0.850732,0.850882,0.850768,0.850848,0.850909,0.850722,0.850731,0.850534,0.850906,0.852552,0.850704,0.854414,0.850714,0.853521,0.850763,1.000000,0.851045,0.850699,0.853672,0.850628,0.850847,0.850711,0.854058,0.850899,0.851169,0.852816
sigma_66,0.732592,0.732716,0.732623,0.742933,0.732613,0.733252,0.732725,0.732631,0.732533,0.732838,0.732752,0.732697,0.732892,0.737982,0.732719,0.732393,0.732580,0.732632,0.732454,0.732421,0.732253,0.732906,0.732488,0.738384,0.732892,0.733009,0.732687,0.732505,0.732925,0.736110,0.732850,0.732442,0.732469,0.732534,0.733020,0.732251,0.738933,0.732731,0.737534,0.732704,0.732461,0.732620,0.732878,0.732437,0.732769,0.732808,0.732657,0.732496,0.732576,0.732499,0.732914,0.732609,0.741360,0.732790,0.736803,0.732717,0.732493,0.732869,0.732891,0.732870,0.733426,0.732884,0.732743,0.732385,0.732544,0.732428,0.732740,0.732544,0.732628,0.733092,0.732695,0.732950,0.732708,0.740389,0.736466,0.740878,0.732860,0.732627,0.732376,0.732417,0.732880,0.733331,0.732693,0.732355,0.732775,0.732459,0.732653,0.738019,0.732711,0.732845,1.000000,0.732640,0.737814,0.738790,0.733250,0.732735,0.738709,0.732994,0.732777,0.736726
sigma_81,0.756643,0.756481,0.756664,0.756624,0.756334,0.756593,0.756567,0.756536,0.756627,0.761329,0.756729,0.756519,0.762473,0.756346,0.756311,0.756235,0.760651,0.761934,0.762315,0.758954,0.756483,0.756425,0.756516,0.756697,0.761372,0.756701,0.756700,0.756786,0.756323,0.756370,0.756114,0.756700,0.756270,0.761866,0.756553,0.756656,0.756458,0.756308,0.761094,0.757159,0.756797,0.756173,0.762244,0.756707,0.756207,0.756405,0.761624,0.756178,0.756546,0.756228,0.764716,0.762039,0.756881,0.756423,0.756235,0.756697,0.756388,0.756104,0.756205,0.756311,0.756496,0.756574,0.756568,0.756331,0.756452,0.756162,0.756434,0.756503,0.756386,0.756328,0.756376,0.756380,0.756634,0.763327,0.756323,0.756717,0.762136,0.756318,0.756473,0.760480,0.756731,0.756620,0.756504,0.756464,0.756724,0.756570,0.756534,0.756738,0.756418,0.756326,0.756468,1.000000,0.756432,0.756546,0.756650,0.756251,0.756417,0.761776,0.756699,0.756408
sigma_12,0.832133,0.832027,0.832029,0.832421,0.836077,0.832628,0.832095,0.832412,0.831984,0.835519,0.832497,0.832345,0.832267,0.832327,0.832163,0.832467,0.832068,0.832546,0.832341,0.832118,0.832438,0.836396,0.835906,0.832162,0.832243,0.832350,0.832470,0.832372,0.832245,0.832356,0.839276,0.832323,0.832107,0.832227,0.832586,0.832089,0.832365,0.832184,0.835629,0.832306,0.832434,0.832241,0.832133,0.832282,0.835520,0.832696,0.835489,0.832095,0.837787,0.832121,0.832509,0.832087,0.832352,0.832300,0.832327,0.837080,0.832308,0.837883,0.832276,0.832433,0.832442,0.832360,0.832203,0.832224,0.836129,0.832232,0.835653,0.832207,0.832128,0.832238,0.832113,0.832167,0.832319,0.832330,0.832330,0.832375,0.835731,0.834644,0.832108,0.832047,0.835768,0.832587,0.832395,0.832293,0.832064,0.832194,0.832278,0.832468,0.832506,0.835154,0.837490,0.832284,1.000000,0.836141,0.836663,0.834657,0.836269,0.832428,0.832351,0.832117
sigma_16,0.800816,0.800848,0.800637,0.800691,0.800562,0.810276,0.800962,0.800649,0.800734,0.800663,0.800987,0.800903,0.800463,0.804602,0.806957,0.800551,0.800740,0.805232,0.800546,0.802745,0.800758,0.800510,0.800585,0.800473,0.804741,0.800699,0.801104,0.800696,0.800877,0.800519,0.801173,0.806389,0.800778,0.800705,0.806058,0.800822,0.800767,0.800564,0.800804,0.800956,0.800486,0.800771,0.800503,0.804092,0.800780,0.801072,0.800765,0.800619,0.801388,0.800493,0.807609,0.800866,0.801304,0.801069,0.803897,0.800793,0.800788,0.806877,0.800720,0.805902,0.800975,0.800659,0.804553,0.800841,0.800691,0.800962,0.801089,0.800453,0.800564,0.807940,0.800620,0.800551,0.800821,0.800759,0.800582,0.800817,0.800827,0.800505,0.800752,0.800586,0.800885,0.800486,0.800874,0.803166,0.800710,0.800808,0.803574,0.800801,0.801176,0.800529,0.806889,0.800821,0.804564,1.000000,0.800993,0.803566,0.801488,0.800470,0.800552,0.800816
sigma_64,0.771105,0.771106,0.771141,0.772022,0.771198,0.771952,0.771521,0.770820,0.771029,0.771342,0.771132,0.771460,0.771190,0.775541,0.771175,0.771117,0.771416,0.776131,0.771243,0.773648,0.771041,0.776902,0.770987,0.771417,0.771255,0.771214,0.771667,0.771737,0.771400,0.774433,0.771556,0.771223,0.775452,0.770986,0.770961,0.771097,0.771154,0.774421,0.771348,0.771738,0.771742,0.771168,0.771009,0.771075,0.771351,0.780819,0.771292,0.771098,0.771469,0.771080,0.779120,0.770988,0.778650,0.771458,0.774899,0.777607,0.775972,0.771423,0.771018,0.770935,0.771149,0.771323,0.771103,0.771172,0.771094,0.771307,0.771554,0.770914,0.771062,0.771133,0.771200,0.770988,0.770828,0.770923,0.774300,0.771146,0.771592,0.770948,0.770935,0.770915,0.771188,0.780790,0.771600,0.771073,0.771299,0.770932,0.770907,0.775811,0.771567,0.771209,0.771813,0.771385,0.775548,0.771454,1.000000,0.771073,0.771293,0.776114,0.771435,0.771129
sigma_71,0.878446,0.878480,0.878381,0.878232,0.878385,0.878474,0.881079,0.878403,0.880626,0.878360,0.878408,0.878616,0.881283,0.880930,0.882133,0.878461,0.878405,0.878628,0.878423,0.878296,0.882072,0.878344,0.881166,0.878257,0.878363,0.878388,0.878469,0.878542,0.878465,0.878263,0.878254,0.878471,0.878316,0.881056,0.878638,0.878249,0.881642,0.878448,0.878444,0.878559,0.878278,0.878675,0.878455,0.878305,0.878356,0.878291,0.881126,0.881518,0.882593,0.878316,0.878810,0.878587,0.878413,0.878428,0.880461,0.881678,0.878558,0.878747,0.878247,0.881844,0.878490,0.878561,0.880959,0.878603,0.878332,0.878474,0.878448,0.878419,0.881875,0.878540,0.878393,0.878248,0.878717,0.878406,0.878327,0.878218,0.878461,0.878413,0.878352,0.878499,0.880950,0.878243,0.878557,0.878406,0.882043,0.878624,0.879971,0.880936,0.882509,0.878468,0.878693,0.878381,0.880930,0.881417,0.878468,1.000000,0.881313,0.878479,0.882406,0.878515
sigma_99,0.803153,0.803579,0.803550,0.803613,0.803692,0.803273,0.807351,0.803466,0.803457,0.803413,0.803778,0.803607,0.803281,0.803406,0.803329,0.803414,0.803415,0.807746,0.803537,0.803106,0.803285,0.803273,0.803414,0.803439,0.803253,0.803417,0.803205,0.803742,0.803412,0.805980,0.803769,0.803436,0.803224,0.803534,0.808667,0.803426,0.803368,0.803250,0.807179,0.803442,0.803643,0.803497,0.807926,0.806643,0.803265,0.803836,0.803387,0.803550,0.803754,0.803195,0.803432,0.803390,0.803438,0.803216,0.803227,0.803594,0.803367,0.809543,0.803547,0.808511,0.810254,0.803480,0.807278,0.803415,0.803673,0.803420,0.803420,0.803345,0.808664,0.810962,0.803308,0.803377,0.803412,0.803798,0.803301,0.803685,0.803303,0.806088,0.803559,0.803212,0.803533,0.811197,0.803378,0.803178,0.803463,0.803555,0.806193,0.803782,0.803453,0.806660,0.809507,0.803390,0.807391,0.804187,0.803531,0.806161,1.000000,0.803374,0.803144,0.803605
sigma_44,0.815765,0.815796,0.815467,0.823009,0.815456,0.816162,0.819384,0.815499,0.818638,0.815815,0.815437,0.815450,0.815769,0.815418,0.821024,0.815657,0.815474,0.815426,0.820011,0.815531,0.820517,0.815612,0.819393,0.819336,0.815485,0.815570,0.815661,0.815870,0.815569,0.815417,0.815505,0.815528,0.815279,0.815463,0.815693,0.815573,0.815550,0.818222,0.818844,0.815779,0.815625,0.815151,0.819814,0.815367,0.815431,0.823391,0.815477,0.815536,0.815566,0.815203,0.815881,0.815510,0.815829,0.815507,0.815429,0.815541,0.815404,0.815711,0.815588,0.815235,0.815726,0.819599,0.815356,0.815883,0.819710,0.815457,0.819105,0.815625,0.815794,0.815466,0.815282,0.815733,0.815283,0.815989,0.815508,0.821054,0.819360,0.818102,0.815373,0.815431,0.815806,0.816154,0.815587,0.815271,0.815358,0.815564,0.815219,0.819029,0.815560,0.815592,0.815887,0.820836,0.815640,0.815262,0.820442,0.815415,0.815467,1.000000,0.815593,0.815437
sigma_32,0.737352,0.738141,0.737270,0.737143,0.737442,0.737444,0.737467,0.737562,0.737604,0.737219,0.737617,0.738050,0.737703,0.737653,0.737530,0.737496,0.737453,0.737556,0.743854,0.737247,0.737567,0.738074,0.743464,0.737553,0.737576,0.737320,0.737884,0.737871,0.737794,0.737489,0.737352,0.737496,0.742373,0.737429,0.737470,0.737249,0.737951,0.737266,0.737331,0.738071,0.737623,0.745467,0.737568,0.737543,0.737513,0.737259,0.743277,0.738100,0.746024,0.737450,0.737766,0.743881,0.737934,0.737490,0.741624,0.737462,0.743049,0.737658,0.737320,0.738302,0.737722,0.743655,0.738028,0.737637,0.737380,0.737570,0.737620,0.737589,0.737743,0.737565,0.737512,0.737467,0.738101,0.737527,0.741642,0.737442,0.737384,0.737238,0.737544,0.742081,0.737587,0.737178,0.738102,0.737632,0.744862,0.737667,0.737512,0.742628,0.737916,0.737900,0.737708,0.737803,0.737601,0.737381,0.737803,0.741391,0.737274,0.737631,1.000000,0.741434
sigma_33,0.867251,0.867306,0.867309,0.867046,0.867377,0.867306,0.870068,0.867136,0.869490,0.867078,0.867424,0.867460,0.867089,0.869850,0.871126,0.871001,0.867075,0.870150,0.867164,0.866927,0.867094,0.867009,0.867226,0.870074,0.869909,0.867190,0.867256,0.867016,0.867349,0.867092,0.872870,0.867184,0.869627,0.870042,0.867166,0.867200,0.867207,0.867068,0.867161,0.867438,0.867313,0.867307,0.870183,0.867221,0.866978,0.867409,0.867168,0.867376,0.867277,0.869036,0.867356,0.867448,0.871448,0.867280,0.867342,0.867040,0.867232,0.867156,0.867197,0.870712,0.871548,0.867169,0.869866,0.867192,0.867151,0.867199,0.867190,0.867220,0.867138,0.867384,0.867558,0.867084,0.867095,0.867276,0.869007,0.867396,0.866987,0.868933,0.867429,0.869464,0.867320,0.867019,0.867169,0.867088,0.867449,0.870472,0.867040,0.867378,0.871266,0.869283,0.871386,0.867248,0.867105,0.867382,0.867235,0.867225,0.867471,0.867211,0.871165,1.000000
