Node,AverageAttackRate
0,0.006689
1,0.006689
2,0.006689
3,0.006689
4,0.006689
5,0.006689
6,0.006689
7,0.006689
8,0.006689
9,0.006689
10,0.006689
11,0.006689
12,0.006689
13,0.006689
14,0.006689
15,0.006689
16,0.006689
17,0.006689
18,0.006689
19,0.006689
20,0.006689
21,0.006689
22,0.006689
23,0.006689
24,0.006689
25,0.006689
26,0.006689
27,0.006689
28,0.006689
29,0.006689
30,0.006689
31,0.006689
32,0.006689
33,0.006689
34,0.006689
35,0.006689
36,0.006689
37,0.006689
38,0.006689
39,0.006689
40,0.006689
41,0.006689
42,0.006689
43,0.006689
44,0.006689
45,0.006689
46,0.006689
47,0.006689
48,0.006689
49,0.006689
50,0.006689
51,0.006689
52,0.006689
53,0.006689
54,0.006689
55,0.006689
56,0.006689
57,0.006689
58,0.006689
59,0.006689
60,0.006689
61,0.006689
62,0.006689
63,0.006689
64,0.006689
65,0.006689
66,0.006689
67,0.006689
68,0.006689
69,0.006689
70,0.006689
71,0.006689
72,0.006689
73,0.006689
74,0.006689
75,0.006689
76,0.006689
77,0.006689
78,0.006689
79,0.006689
80,0.006689
81,0.006689
82,0.006689
83,0.006689
84,0.006689
85,0.006689
86,0.006689
87,0.006689
88,0.006689
89,0.006689
90,0.006689
91,0.006689
92,0.006689
93,0.006689
94,0.006689
95,0.006689
96,0.006689
97,0.006689
98,0.006689
99,0.006689
100,0.006689
101,0.006689
102,0.006689
103,0.006689
104,0.006689
105,0.006689
106,0.006689
107,0.006689
108,0.006689
109,0.006689
110,0.006689
111,0.006689
112,0.006689
113,0.006689
114,0.006689
115,0.006689
116,0.006689
117,0.006689
118,0.006689
119,0.006689
120,0.006689
121,0.006689
122,0.006689
123,0.006689
124,0.006689
125,0.006689
126,0.006689
127,0.006689
128,0.006689
129,0.006689
130,0.006689
131,0.006689
132,0.006689
133,0.006689
134,0.006689
135,0.006689
136,0.006689
137,0.006689
138,0.006689
139,0.006689
140,0.006689
141,0.006689
142,0.006689
143,0.006689
144,0.006689
145,0.006689
146,0.006689
147,0.006689
148,0.006689
149,0.006689
150,0.006689
151,0.006689
152,0.006689
153,0.006689
154,0.006689
155,0.006689
156,0.006689
157,0.006689
158,0.006689
159,0.006689
160,0.006689
161,0.006689
162,0.006689
163,0.006689
164,0.006689
165,0.006689
166,0.006689
167,0.006689
168,0.006689
169,0.006689
170,0.006689
171,0.006689
172,0.006689
173,0.006689
174,0.006689
175,0.006689
176,0.006689
177,0.006689
178,0.006689
179,0.006689
180,0.006689
181,0.006689
182,0.006689
183,0.006689
184,0.006689
185,0.006689
186,0.006689
187,0.006689
188,0.006689
189,0.006689
190,0.006689
191,0.006689
192,0.006689
193,0.006689
194,0.006689
195,0.006689
196,0.006689
197,0.006689
198,0.006689
199,0.006689
200,0.006689
201,0.006689
202,0.006689
203,0.006689
204,0.006689
205,0.006689
206,0.006689
207,0.006689
208,0.006689
209,0.006689
210,0.006689
211,0.006689
212,0.006689
213,0.006689
214,0.006689
215,0.006689
216,0.006689
217,0.006689
218,0.006689
219,0.006689
220,0.006689
221,0.006689
222,0.006689
223,0.006689
224,0.006689
225,0.006689
226,0.006689
227,0.006689
228,0.006689
229,0.006689
230,0.006689
231,0.006689
232,0.006689
233,0.006689
234,0.006689
235,0.006689
236,0.006689
237,0.006689
238,0.006689
239,0.006689
240,0.006689
241,0.006689
242,0.006689
243,0.006689
244,0.006689
245,0.006689
246,0.006689
247,0.006689
248,0.006689
249,0.006689
250,0.006689
251,0.006689
252,0.006689
253,0.006689
254,0.006689
255,0.006689
256,0.006689
257,0.006689
258,0.006689
259,0.006689
260,0.006689
261,0.006689
262,0.006689
263,0.006689
264,0.006689
265,0.006689
266,0.006689
267,0.006689
268,0.006689
269,0.006689
270,0.006689
271,0.006689
272,0.006689
273,0.006689
274,0.006689
275,0.006689
276,0.006689
277,0.006689
278,0.006689
279,0.006689
280,0.006689
281,0.006689
282,0.006689
283,0.006689
284,0.006689
285,0.006689
286,0.006689
287,0.006689
288,0.006689
289,0.006689
290,0.006689
291,0.006689
292,0.006689
293,0.006689
294,0.006689
295,0.006689
296,0.006689
297,0.006689
298,0.006689
299,0.006689
