,Seed 0,Seed 1,Seed 2,Seed 3,Seed 4,Seed 5,Seed 6,Seed 7,Seed 8,Seed 9
sigma_0,1.000000,0.115036,0.224398,0.225778,0.203801,0.067576,0.084515,0.104163,0.223120,0.120564
sigma_1,0.125753,1.000000,0.288281,0.269278,0.027335,0.254065,0.283350,0.125040,0.102797,0.292096
sigma_2,0.231626,0.280328,1.000000,0.127946,0.048725,0.248683,0.123925,0.093547,0.109093,0.261279
sigma_3,0.231097,0.259542,0.126382,1.000000,0.048580,0.078550,0.255309,0.234323,0.114964,0.159180
sigma_4,0.200000,0.023007,0.044880,0.045156,1.000000,0.013515,0.016903,0.020833,0.044624,0.024113
sigma_5,0.068066,0.240055,0.241380,0.075613,0.014597,1.000000,0.077536,0.041769,0.040491,0.104646
sigma_6,0.088650,0.274455,0.123175,0.256609,0.019231,0.081328,1.000000,0.112558,0.086659,0.259227
sigma_7,0.106297,0.116701,0.090862,0.231797,0.022850,0.042671,0.109788,1.000000,0.246835,0.252039
sigma_8,0.225108,0.094945,0.105664,0.112754,0.047045,0.040981,0.083993,0.245883,1.000000,0.246828
sigma_9,0.130188,0.289676,0.266786,0.165627,0.028309,0.112704,0.265769,0.262152,0.257561,1.000000
